source,episode,theta,alpha,theta_dot,alpha_dot,action,reward,dist_upright
real,0,0.3375000059604645,0.4602000117301941,0.0,0.007600000128149986,-0.09167373180389404,0.13725332915782928,2.681392641859599
real,0,0.32519999146461487,0.4478999972343445,-0.6136000156402588,-0.6126000285148621,-0.027270972728729248,0.133998841047287,2.6936926563554486
real,0,0.3068000078201294,0.429500013589859,-1.1461000442504883,-1.1456999778747559,0.02578270435333252,0.1290845423936844,2.712092639999934
real,0,0.25769999623298645,0.38350000977516174,-1.736799955368042,-1.583299994468689,0.3216601610183716,0.11668893694877625,2.7580926438146314
real,0,0.31290000677108765,0.48170000314712524,2.5878000259399414,3.72760009765625,0.500967264175415,0.14539384841918945,2.659892650442668
real,0,0.47859999537467957,0.6779999732971191,6.30649995803833,7.315999984741211,-0.15437555313110352,0.19724734127521515,2.463592680292674
real,0,0.5889999866485596,0.7946000099182129,7.842400074005127,8.520500183105469,-0.4361530542373657,0.2248086780309677,2.3469926436715802
real,0,0.7087000012397766,0.8744000196456909,4.42579984664917,2.91129994392395,-0.7849864363670349,0.2376188039779663,2.267192633944102
real,0,0.7087000012397766,0.8252999782562256,1.6282000541687012,-1.3833999633789062,-0.5367082953453064,0.22198981046676636,2.3162926753335675
real,0,0.5277000069618225,0.5062000155448914,-6.987800121307373,-12.455900192260742,-0.25614506006240845,0.13855677843093872,2.6353926380449018
real,0,0.21780000627040863,0.039900001138448715,-11.202699661254883,-17.148000717163086,0.7759274244308472,0.00885549932718277,3.1016926524513444
real,0,0.012299999594688416,-0.27300000190734863,-7.624300003051758,-11.761500358581543,0.8584078550338745,0.08688633143901825,2.8685926516824445
real,0,-0.003100000089034438,-0.3098999857902527,-3.5717999935150146,-6.167600154876709,0.6847708225250244,0.0986434668302536,2.8316926677995404
real,0,0.14110000431537628,-0.11969999969005585,5.077899932861328,6.639699935913086,0.7945599555969238,0.036487895995378494,3.0218926538997373
real,0,0.536899983882904,0.3743000030517578,15.821200370788574,19.486799240112305,-0.02187371253967285,0.09577778726816177,2.7672926505380353
real,0,1.0860999822616577,1.0307999849319458,20.678499221801758,24.99209976196289,-0.9640275835990906,0.23249801993370056,2.1107926686578473
real,0,1.374400019645691,1.4205000400543213,11.690899848937988,15.688400268554688,-0.9640275835990906,0.2990446090698242,1.7210926135354718
real,0,1.4665000438690186,1.530900001525879,8.902799606323242,11.293800354003906,-0.9640275835990906,0.31297779083251953,1.6106926520639142
